證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"4737","華廣","4,095","209,507","51.90","51.90","50.90","50.90","+1.00","5"
"4739","康普","728,946","51,890,413","70.30","72.50","70.30","71.80","-1.10","473"
"4746","台耀","208,300","7,718,950","37.60","37.70","36.65","37.00","-0.60","161"
"4755","三福化","7,000","316,150","45.00","45.30","45.00","45.20","+0.10","5"
"4763","材料-KY","406,000","60,791,000","149.00","152.50","147.00","148.00"," 0.00","319"
"4764","雙鍵","56,000","4,311,400","77.00","77.10","76.80","77.10","+0.20","43"
"4766","南寶","291,530","47,607,420","160.50","164.50","160.50","163.00"," 0.00","286"
"4807","日成-KY","70,110","2,419,613","34.55","35.05","34.10","34.60","+0.05","58"
"4904","遠傳","2,400,954","181,924,011","75.70","76.20","75.60","75.60"," 0.00","1,256"
"4906","正文","3,766,951","92,000,685","24.45","24.80","23.85","24.75","+0.50","2,224"
"4912","聯德控股-KY","81,000","9,743,000","119.50","122.50","118.00","120.00","+0.50","70"
"4915","致伸","2,302,000","120,272,400","51.60","52.80","51.50","52.30","+0.50","1,650"
"4916","事欣科","346,002","12,176,820","35.35","35.50","35.00","35.00","-0.35","194"
"4919","新唐","602,100","26,806,260","45.00","45.45","44.00","44.20","-0.80","400"
"4927","泰鼎-KY","8,827,508","431,047,042","50.10","50.30","47.70","48.75","-0.80","4,352"
"4930","燦星網","82,100","922,115","11.35","11.35","11.15","11.15","-0.15","40"
"4934","太極","1,127,001","5,097,754","4.51","4.60","4.44","4.57","+0.05","264"
"4935","茂林-KY","329,000","12,402,200","38.60","38.65","36.80","36.80","-1.80","147"
"4938","和碩","4,280,560","216,136,869","50.50","50.80","50.20","50.50","+0.55","2,442"
"4942","嘉彰","775,452","29,352,216","38.60","38.75","37.20","37.50","-1.05","457"
"4943","康控-KY","2,492,124","321,088,248","131.00","132.50","126.00","127.50","-4.50","2,096"
"4952","凌通","174,000","5,907,050","34.20","34.25","33.75","33.80","-0.45","122"
"4956","光鋐","141,208","2,034,502","14.55","14.60","14.35","14.35","-0.15","78"
"4958","臻鼎-KY","6,557,752","590,036,878","88.80","91.50","88.70","89.60","+1.80","4,516"
"4960","誠美材","7,330,982","60,012,231","8.95","8.95","7.92","8.21","-0.59","1,274"
"4961","天鈺","730,085","27,777,746","38.50","38.60","37.80","38.05","-0.30","460"
"4967","十銓","98,272","2,547,349","26.15","26.15","25.60","26.10"," 0.00","71"
"4968","立積","2,997,140","165,817,491","55.70","56.70","53.80","56.40","+1.90","2,005"
"4976","佳凌","378,005","11,582,710","30.65","31.00","30.40","30.65","+0.20","278"
"4977","眾達-KY","787,473","64,070,388","83.50","83.50","79.50","81.50","-1.30","591"
"4989","榮科","269,000","6,454,800","24.20","24.40","23.80","23.80","-0.50","181"
"4994","傳奇","147,024","11,229,505","78.30","78.30","75.10","75.60","-2.70","131"
"4999","鑫禾","124,370","5,362,269","43.70","43.70","42.90","43.20","-0.30","89"
"5007","三星","23,275","1,227,530","52.40","52.90","52.40","52.90","+0.50","24"
"5203","訊連","54,852","3,951,644","72.00","72.10","71.80","72.00"," 0.00","39"
"5215","科嘉-KY","90,070","2,869,043","32.15","32.15","31.60","32.05","+0.05","57"
"5225","東科-KY","86,000","2,683,850","31.05","31.70","30.90","31.00","-0.05","55"
"5234","達興材料","294,615","24,945,275","85.60","85.70","84.00","84.70","-0.80","250"
"5243","乙盛-KY","170,000","5,998,750","35.85","35.90","35.10","35.20","-0.10","122"
"5258","虹堡","154,000","2,870,500","18.60","18.85","18.50","18.50","-0.05","109"
"5264","鎧勝-KY","1,004,300","38,720,794","37.50","39.40","37.50","38.45","+0.35","638"
"5269","祥碩","946,113","433,560,367","489.00","492.00","442.00","451.00","-38.00","882"
"5284","jpp-KY","4,000","223,100","55.80","55.80","55.70","55.70","+0.40","4"
"5285","界霖","75,020","4,763,576","64.50","64.70","63.00","63.60","-0.70","58"
"5288","豐祥-KY","466,010","65,168,920","142.00","142.00","138.00","142.00"," 0.00","329"
"5305","敦南","273,312","8,398,578","31.00","31.10","30.35","30.70","+0.10","194"
"5388","中磊","897,990","56,354,171","63.20","63.50","62.30","62.50","-0.70","620"
"5434","崇越","444,701","37,258,184","85.00","85.00","83.20","84.00","+0.10","357"
"5469","瀚宇博","6,063,400","178,191,368","29.45","29.95","28.80","28.80","-0.50","2,871"
"5471","松翰","155,305","4,655,064","30.05","30.10","29.90","29.95","-0.10","110"
"5484","慧友","54,008","226,842","4.20","4.26","4.17","4.17","-0.08","24"
"5515","建國","210,001","2,111,660","10.10","10.15","10.00","10.15","+0.05","59"
"5519","隆大","2,805,102","45,975,872","16.35","16.55","16.20","16.50","+0.40","1,033"
"5521","工信","375,050","2,684,168","7.20","7.20","7.13","7.17","-0.02","120"
"5522","遠雄","768,777","28,609,735","37.15","37.45","36.80","37.40","-0.05","534"
"5525","順天","137,585","3,625,393","26.40","26.55","26.20","26.40"," 0.00","106"
"5531","鄉林","267,567","2,577,110","9.70","9.70","9.58","9.68","-0.02","126"
"5533","皇鼎","56,812","916,242","16.15","16.20","16.10","16.10","-0.15","22"
"5534","長虹","452,954","38,553,300","85.00","85.90","84.30","85.10","+0.80","330"
"5538","東明-KY","1,000","35,450","35.45","35.45","35.45","35.45","-0.55","1"
"5607","遠雄港","1,151,003","22,177,957","19.15","19.65","18.85","19.30","+0.05","541"
"5608","四維航","481,583","4,039,537","8.64","8.64","8.31","8.31","-0.33","210"
"5706","鳳凰","28,300","1,034,682","36.60","36.60","36.50","36.60"," 0.00","19"
"5871","中租-KY","1,636,909","188,322,444","115.00","116.00","114.00","115.00","+0.50","1,252"
"5876","上海商銀","13,937,035","733,195,821","51.40","53.60","51.30","52.60","+1.50","5,405"
"5880","合庫金","15,993,367","315,959,765","19.65","19.85","19.65","19.75","+0.10","3,236"
"5906","台南-KY","41,090","524,602","12.80","12.85","12.70","12.85","+0.15","20"
"5907","大洋-KY","806,353","25,837,859","31.85","32.35","31.65","31.65"," 0.00","513"
"6005","群益證","1,487,740","13,602,550","9.15","9.16","9.12","9.13","-0.01","437"
"6024","群益期","161,081","7,345,905","45.85","45.85","45.50","45.70"," 0.00","127"
"6108","競國","309,323","9,026,897","29.50","29.65","28.95","29.10","-0.25","207"
"6112","聚碩","147,376","5,265,466","35.65","35.90","35.65","35.70","-0.20","104"
"6115","鎰勝","36,440","1,562,789","42.90","43.00","42.70","42.90"," 0.00","29"
"6116","彩晶","12,974,300","89,242,781","6.90","6.97","6.82","6.82","-0.04","3,066"
"6117","迎廣","1,000","14,100","14.10","14.10","14.10","14.10"," 0.00","1"
"6120","達運","1,091,618","19,171,152","17.90","17.90","17.30","17.30","-0.10","532"
"6128","上福","39,377","1,373,531","35.00","35.00","34.70","35.00","+0.30","28"
"6131","悠克","425,453","1,142,367","2.59","2.71","2.59","2.60","+0.04","53"
"6133","金橋","125,001","1,074,588","8.58","8.61","8.56","8.61","+0.05","39"
"6136","富爾特","63,593","1,277,747","20.00","20.20","20.00","20.10","+0.10","49"
"6139","亞翔","428,438","11,947,503","28.30","28.45","27.60","27.65","-0.65","275"
"6141","柏承","1,075,264","20,329,639","19.25","19.40","18.60","18.90","-0.25","520"
"6142","友勁","482,240","3,865,078","8.04","8.18","7.96","7.96","-0.19","129"
"6152","百一","88,002","400,888","4.56","4.57","4.54","4.54","-0.02","33"
"6153","嘉聯益","9,926,304","276,925,612","28.70","29.05","27.20","27.30","-1.45","4,913"
"6155","鈞寶","163,045","3,243,509","20.00","20.25","19.65","19.75","-0.25","111"
"6164","華興","213,201","1,696,639","7.99","7.99","7.81","7.94","-0.01","46"
"6165","捷泰","56,052","441,964","7.90","7.94","7.71","7.91","-0.03","25"
"6166","凌華","80,090","3,101,260","38.80","39.50","38.35","38.70","-0.10","67"
"6168","宏齊","349,768","4,893,310","14.00","14.10","13.90","13.95","+0.05","168"
"6172","互億","103,306","1,703,649","16.60","16.70","16.30","16.50","-0.10","57"
"6176","瑞儀","2,149,379","217,021,065","99.90","102.00","99.90","101.00","+1.80","1,450"
"6177","達麗","234,266","7,076,655","30.25","30.45","30.05","30.15","-0.05","145"
"6183","關貿","73,584","2,504,191","34.05","34.15","33.95","34.15","+0.10","63"
"6184","大豐電","49,677","1,859,567","37.40","37.55","37.20","37.45","+0.05","42"
"6189","豐藝","246,563","8,092,467","32.80","32.90","32.75","32.80","-0.10","121"
"6191","精成科","1,900,102","27,569,127","14.70","14.75","14.30","14.50"," 0.00","773"
"6192","巨路","267,551","19,790,339","76.50","76.50","72.80","73.50","-2.00","237"
"6196","帆宣","195,530","9,508,886","48.60","49.65","48.35","48.65","-0.10","162"
"6197","佳必琪","141,500","4,095,700","29.15","29.15","28.85","28.90","-0.30","111"
"6201","亞弘電","90,220","3,122,100","34.60","34.80","34.60","34.80","+0.20","13"
"6202","盛群","776,580","51,051,638","66.00","66.60","65.20","65.50","+0.30","618"
"6205","詮欣","6,000","161,400","26.90","26.90","26.90","26.90"," 0.00","5"
"6206","飛捷","88,062","6,923,391","77.90","79.30","77.50","79.20","+1.70","82"
"6209","今國光","458,200","12,583,769","27.55","27.85","27.15","27.35","-0.15","316"
"6213","聯茂","12,521,250","1,107,917,241","90.10","91.00","86.30","89.60","-2.20","8,025"
"6214","精誠","910,816","66,284,807","72.80","73.40","72.00","72.30","-0.40","666"
"6215","和椿","990,020","15,977,521","15.60","16.40","15.60","15.95","+0.45","434"
"6216","居易","46,049","1,292,146","28.00","28.20","27.95","28.05","+0.05","28"
"6224","聚鼎","238,001","12,856,555","54.30","54.50","53.70","53.90","-0.60","186"
"6225","天瀚","2,000","5,780","3.00","3.00","2.78","2.78","-0.12","2"
"6226","光鼎","76,706","592,206","7.76","7.76","7.69","7.70","-0.06","43"
"6230","超眾","2,413,107","364,925,299","152.00","154.00","147.00","153.00","+3.00","1,789"
"6235","華孚","567,705","6,476,257","11.30","11.70","11.00","11.60","+0.25","270"
"6239","力成","1,612,236","119,468,464","74.00","74.70","73.80","74.30","+0.20","1,084"
"6243","迅杰","99,432","918,333","9.18","9.35","9.18","9.29","-0.21","50"
"6251","定穎","487,218","4,118,152","8.59","8.59","8.38","8.54","-0.05","197"
"6257","矽格","582,509","16,478,105","28.40","28.50","28.10","28.30","-0.10","392"
"6269","台郡","6,142,725","490,567,600","82.00","82.00","79.00","79.80","-1.40","4,202"
"6271","同欣電","865,200","88,837,700","103.50","104.00","102.00","102.50","-0.50","645"
"6277","宏正","89,078","7,873,742","88.00","89.10","88.00","88.20","+0.50","89"
"6278","台表科","8,253,388","465,716,300","58.50","58.60","54.90","56.10","-1.70","5,086"
"6281","全國電","31,531","2,074,884","65.80","66.00","65.70","65.70"," 0.00","36"
"6282","康舒","2,032,412","38,943,333","19.15","19.45","18.90","19.40","+0.10","849"
"6283","淳安","158,515","5,608,353","35.70","35.85","35.20","35.25","-0.60","129"
"6285","啟碁","2,550,195","172,512,160","68.50","68.80","67.10","67.50","-1.00","1,702"
"6288","聯嘉","623,000","10,632,700","17.40","17.55","16.70","17.20","-0.10","257"
"6289","華上","82,750","49,720","0.61","0.61","0.60","0.60"," 0.00","17"
"6405","悅城","17,001","235,013","13.80","14.00","13.80","14.00","+0.10","16"
"6409","旭隼","30,078","18,061,112","599.00","607.00","597.00","599.00"," 0.00","32"
"6412","群電","287,031","13,787,499","48.30","49.05","47.95","47.95","-0.35","189"
"6414","樺漢","674,835","142,289,025","214.00","214.50","207.00","211.50"," 0.00","563"
"6415","矽力-KY","447,674","202,040,908","487.50","488.50","440.00","443.50","-44.00","450"
"6416","瑞祺電通","121,500","8,854,298","73.50","73.50","71.80","72.60","-0.40","94"
"6431","光麗-KY","57,776","1,561,623","26.95","27.50","26.55","27.15","+0.20","46"
"6442","光聖","67,180","2,540,394","38.35","38.35","37.50","38.20","-0.15","46"
"6443","元晶","1,739,895","11,644,466","6.78","6.78","6.65","6.65","-0.15","558"
"6449","鈺邦","98,126","2,807,964","29.00","29.00","28.40","28.80","-0.45","79"
"6451","訊芯-KY","1,504,153","139,058,735","91.30","94.30","90.20","94.10","+3.30","1,197"
"6452","康友-KY","958,693","225,142,241","233.50","238.00","231.00","238.00","+4.50","765"
"6456","GIS-KY","1,778,307","168,571,965","96.00","96.30","93.70","94.10","-0.90","1,444"
"6464","台數科","2,000","216,000","108.00","108.00","108.00","108.00"," 0.00","2"
"6477","安集","670,000","15,965,400","23.95","24.25","23.55","23.55","-0.45","339"
"6504","南六","17,000","2,763,500","160.50","163.50","160.50","162.50","+2.50","17"
"6505","台塑化","3,797,143","434,736,802","113.50","115.00","113.00","114.50","+1.50","2,084"
"6525","捷敏-KY","152,300","10,132,379","67.10","67.20","66.20","66.20","-0.90","122"
"6531","愛普","235,316","8,642,877","37.30","37.30","35.60","36.90","-0.25","163"
"6533","晶心科","1,091,214","112,108,042","104.00","106.00","100.50","100.50"," 0.00","912"
"6541","泰福-KY","79,000","5,050,000","63.60","64.30","63.60","64.30","+0.70","64"
"6552","易華電","5,883,345","618,634,070","111.00","112.00","102.50","102.50","-7.00","4,074"
"6558","興能高","1,216,000","65,290,100","55.80","56.20","51.80","54.00","-1.60","863"
"6573","虹揚-KY","80,000","1,906,250","24.50","24.60","23.50","23.50","-1.00","52"
"6579","研揚","23,300","1,862,070","80.00","80.10","79.70","79.90","+0.10","22"
"6581","鋼聯","43,250","4,060,300","94.00","96.20","93.50","96.20","+2.20","39"
"6582","申豐","19,000","1,018,000","53.40","54.00","53.40","54.00","+0.60","12"
"6591","動力-KY","429,000","18,938,300","45.10","45.30","43.00","43.80","-1.60","235"
"6605","帝寶","49,469","3,428,761","69.90","69.90","69.00","69.10"," 0.00","45"
"6625","必應","2,050","104,040","50.60","50.90","50.60","50.90","+0.20","3"
"6641","基士德-KY","52,309","3,252,758","61.50","63.00","61.50","62.50","+0.70","42"
"6655","科定","58,776","3,144,228","53.50","53.60","53.50","53.50"," 0.00","15"
"6666","羅麗芬-KY","52,300","9,224,200","178.50","178.50","175.00","175.00","-1.00","52"
"6668","中揚光","309,700","20,620,258","68.00","68.00","66.00","66.40","-0.50","236"
"6669","緯穎","828,911","271,021,130","326.00","333.00","321.00","327.00","+3.50","750"
"6670","復盛應用","771,165","128,902,385","167.00","168.00","165.00","167.00","+1.50","607"
"6671","三能-KY","6,000","281,700","47.00","47.00","46.70","46.70","-0.30","3"
"6672","騰輝電子-KY","222,014","17,337,745","78.20","79.30","77.40","78.10","+0.30","192"
"6674","鋐寶科技","46,000","1,407,150","30.15","31.85","30.15","30.50","-0.90","39"
"8011","台通","205,161","3,233,605","15.95","16.05","15.60","15.80","-0.10","126"
"8016","矽創","8,941,188","999,490,213","119.50","119.50","108.50","114.50","-6.00","5,851"
"8021","尖點","165,976","3,079,246","18.65","18.70","18.45","18.55","-0.10","111"
"8028","昇陽半導體","1,423,000","58,099,100","41.80","42.40","40.00","40.55","-1.25","853"
"8033","雷虎","699,049","6,915,405","10.00","10.10","9.80","9.90","-0.10","280"
"8039","台虹","2,623,000","108,602,343","42.80","42.80","40.60","40.85","-0.85","1,591"
"8046","南電","11,419,739","440,289,485","40.65","40.85","37.40","38.15","-2.45","5,929"
"8070","長華","168,110","26,538,490","158.50","159.00","156.50","159.00","+1.50","134"
"8072","陞泰","37,242","760,036","20.50","20.80","20.25","20.25","-0.05","21"
"8081","致新","1,703,764","154,297,466","88.60","92.00","88.40","91.00","+2.40","1,309"
"8101","華冠","477,719","1,477,413","3.04","3.14","3.03","3.14","+0.06","117"
"8103","瀚荃","39,113","936,835","23.85","24.10","23.85","23.90","-0.10","43"
"8104","錸寶","250,145","18,035,524","72.40","73.40","70.80","72.20","-0.20","194"
"8105","凌巨","1,520,001","14,324,509","9.60","9.60","9.27","9.30","-0.23","567"
"8110","華東","943,015","9,167,785","9.82","9.90","9.61","9.62","-0.19","306"
"8112","至上","575,609","17,216,830","29.90","30.00","29.85","29.90","+0.05","340"
"8114","振樺電","35,317","3,610,491","104.00","104.00","101.50","102.50","+0.50","39"
"8131","福懋科","256,143","8,737,104","34.05","34.45","33.90","34.00","-0.70","209"
"8150","南茂","6,813,197","165,752,466","24.90","25.20","24.05","24.20","-0.70","2,944"
"8163","達方","1,243,550","52,935,759","43.10","43.40","42.20","42.20","-0.80","924"
"8201","無敵","3,970","50,468","12.80","12.80","12.70","12.70"," 0.00","6"
"8210","勤誠","683,590","41,483,006","59.90","61.90","59.40","61.50","+1.80","538"
"8213","志超","4,127,837","148,069,060","36.90","37.15","35.25","35.45","-1.35","2,138"
"8215","明基材","3,051,340","75,179,360","24.50","24.95","24.30","24.70","+0.70","1,653"
"8222","寶一","654,005","13,785,803","20.90","21.55","20.65","20.75","+0.15","330"
"8249","菱光","57,105","1,225,977","22.10","22.10","21.30","21.30","-0.40","40"
"8261","富鼎","184,292","4,611,632","25.25","25.45","24.85","24.90","-0.55","146"
"8271","宇瞻","132,830","4,210,560","32.00","32.00","31.60","31.75","-0.05","89"
"8341","日友","204,460","55,164,929","268.00","274.00","266.00","269.00","+3.50","201"
"8367","建新國際","8,654","192,333","22.30","22.30","22.10","22.10"," 0.00","10"
"8374","羅昇","152,118","2,907,378","19.35","19.40","19.00","19.00","-0.60","107"
"8404","百和興業-KY","93,872","4,400,476","46.85","47.00","46.50","47.00","+0.40","75"
"8411","福貞-KY","8,000","121,500","15.15","15.25","15.15","15.25","+0.10","8"
"8422","可寧衛","96,548","16,244,831","168.00","168.50","168.00","168.50","+0.50","116"
"8427","基勝-KY","3,001","118,289","39.30","39.60","39.30","39.60","+0.25","4"
"8429","金麗-KY","295,491","4,436,165","15.00","15.15","14.90","14.95","-0.10","157"
"8442","威宏-KY","36,000","2,199,500","61.00","61.40","60.90","61.00"," 0.00","20"
"8443","阿瘦","16,000","190,750","11.90","12.00","11.90","11.90","+0.05","12"
"8454","富邦媒","72,031","18,824,184","261.00","265.00","256.00","262.50","+7.00","69"
"8462","柏文","67,394","14,523,710","215.00","219.00","213.50","216.00","-2.00","75"
"8463","潤泰材","41,059","1,024,369","24.80","25.50","24.80","24.90","+0.10","34"
"8464","億豐","2,044,700","453,068,200","231.00","231.00","225.00","228.00","-2.50","961"
"8466","美吉吉-KY","39,000","2,646,400","68.00","69.60","66.90","68.30","-1.70","37"
"8467","波力-KY","29,000","1,218,850","42.30","42.30","41.70","41.85","+0.55","28"
"8473","山林水","1,640,394","79,329,274","50.80","50.80","47.05","47.20","-4.50","1,516"
"8478","東哥遊艇","21,080","841,730","39.90","40.05","39.70","39.70","+0.90","20"
"8480","泰昇-KY","7,200","917,400","127.00","128.00","127.00","128.00","X0.00","6"
"8481","政伸","33,067","2,018,046","60.90","61.30","60.60","60.60","+0.20","11"
"8482","商億-KY","144,061","19,831,857","138.00","138.50","136.50","138.00"," 0.00","71"
"8488","吉源-KY","2,000","32,100","16.05","16.05","16.05","16.05","X0.00","2"
"8497","格威傳媒","39,000","1,922,650","48.50","50.00","48.45","49.85","+1.35","33"
"8499","鼎炫-KY","148,167","13,702,364","94.20","94.20","91.50","92.00","-2.20","141"
"8926","台汽電","736,300","19,732,400","26.65","26.90","26.65","26.80","+0.20","366"
"8940","新天地","39,031","470,884","12.05","12.30","12.00","12.10","-0.05","26"
"8996","高力","46,001","1,911,345","41.80","41.95","41.35","41.40","-0.20","27"
"9103","美德醫療-DR","60,000","61,200","1.02","1.02","1.02","1.02"," 0.00","17"
"910322","康師傅-DR","2,000","49,250","24.70","24.70","24.55","24.55","-0.55","2"
"910482","聖馬丁-DR","172,000","52,420","0.31","0.31","0.30","0.31"," 0.00","7"
"9105","泰金寶-DR","1,386,639","3,288,365","2.39","2.39","2.36","2.36","-0.02","166"
"910708","恒大健-DR","0","0","0.00","0.00","0.00","0.00"," 0.00","0"
"910861","神州-DR","0","0","0.00","0.00","0.00","0.00"," 0.00","0"
"9110","越南控-DR","97,000","168,830","1.79","1.84","1.70","1.84","+0.04","33"
"911608","明輝-DR","0","0","0.00","0.00","0.00","0.00"," 0.00","0"
"911616","杜康-DR","1,001","810","0.81","0.81","0.81","0.81","+0.01","2"
"911619","耀傑-DR","0","0","0.00","0.00","0.00","0.00"," 0.00","0"
"911622","泰聚亨-DR","0","0","0.00","0.00","0.00","0.00"," 0.00","0"
"911868","同方友友-DR","33,000","38,790","1.19","1.19","1.17","1.19","-0.02","9"
"912000","晨訊科-DR","21,000","49,050","2.34","2.36","2.31","2.36","-0.01","12"
"912398","友佳-DR","30,000","140,500","4.70","4.70","4.65","4.65","-0.15","2"
"9136","巨騰-DR","208,000","1,682,490","8.22","8.22","8.00","8.00","-0.16","73"
"9157","陽光能源-DR","13,000","7,410","0.57","0.60","0.55","0.60"," 0.00","8"
"9188","精熙-DR","9,000","43,830","4.87","4.87","4.87","4.87"," 0.00","7"
"9802","鈺齊-KY","349,340","22,038,660","63.80","63.90","62.30","63.20","-0.70","281"
"9902","台火","211,208","2,104,125","10.05","10.05","9.85","9.94","+0.04","100"
"9904","寶成","7,274,604","262,051,645","36.05","36.30","35.70","36.05","+0.30","3,907"
"9905","大華","89,001","2,182,324","24.55","24.60","24.50","24.50","-0.05","70"
"9906","欣巴巴","28,436","342,186","11.90","12.15","11.90","12.00","+0.10","24"
"9907","統一實","810,075","10,030,881","12.30","12.45","12.30","12.35","+0.05","328"
"9908","大台北","118,250","3,438,850","29.10","29.25","29.00","29.25","+0.15","97"
"9910","豐泰","1,298,208","335,715,872","256.00","262.00","253.00","260.00","+5.00","1,077"
"9911","櫻花","325,214","14,038,453","43.85","43.85","42.75","42.80","-0.10","192"
"9912","偉聯","28,002","250,386","8.88","9.01","8.88","8.90","-0.12","18"
"9914","美利達","1,503,209","276,838,931","189.00","191.00","180.00","180.00","-5.00","1,242"
"9917","中保","232,021","20,389,353","87.60","88.40","87.30","87.80","+0.20","226"
"9918","欣天然","5,105","170,349","33.40","33.40","33.35","33.35","-0.15","10"
"9919","康那香","25,105","271,081","10.85","10.85","10.75","10.85","-0.05","26"
"9921","巨大","1,850,004","413,304,761","228.00","228.00","221.00","221.00","-0.50","1,486"
"9924","福興","214,338","8,780,708","41.15","41.20","40.80","40.80","-0.40","171"
"9925","新保","252,583","9,480,435","37.70","37.70","37.40","37.70","-0.05","174"
"9926","新海","6,097","247,036","40.60","40.60","40.50","40.50"," 0.00","10"
"9927","泰銘","98,477","3,046,289","30.95","31.15","30.80","30.85","-0.05","78"
"9928","中視","3,330","15,894","4.80","4.80","4.71","4.71","+0.01","3"
"9929","秋雨","3,002","53,234","17.70","17.80","17.70","17.80","-0.05","5"
"9930","中聯資源","45,236","2,340,372","51.70","51.80","51.70","51.70"," 0.00","46"
"9931","欣高","6,002","195,114","32.55","32.55","32.50","32.50"," 0.00","6"
"9933","中鼎","652,241","30,881,032","46.65","47.80","46.65","47.30","+0.65","483"
"9934","成霖","151,787","2,625,753","17.25","17.40","17.15","17.35","+0.15","104"
"9935","慶豐富","491,536","12,075,873","24.60","24.90","24.30","24.40","+0.10","269"
"9937","全國","12,001","509,642","42.30","42.50","42.30","42.50"," 0.00","4"
"9938","百和","1,724,585","131,131,651","76.50","76.70","75.40","76.30","+0.30","1,329"
"9939","宏全","209,270","10,207,880","49.00","49.30","48.50","48.70","-0.30","182"
"9940","信義","189,710","6,005,911","31.35","31.80","31.35","31.75","+0.45","163"
"9941","裕融","285,012","32,187,373","112.50","114.00","111.00","113.00","+0.50","218"
"9941A","裕融甲特","49,000","2,636,000","53.80","53.90","53.70","53.90","+0.10","18"
"9942","茂順","68,055","4,861,504","71.60","71.60","71.00","71.20","-0.40","43"
"9943","好樂迪","946,545","63,182,558","66.60","67.50","66.30","66.70","+0.40","497"
"9944","新麗","28,097","447,192","15.95","15.95","15.90","15.95","+0.05","12"
"9945","潤泰新","991,703","40,046,897","40.10","40.70","40.10","40.70","+0.65","688"
"9946","三發地產","701,085","13,673,999","19.60","19.70","19.30","19.50","-0.10","407"
"9955","佳龍","44,000","555,650","12.75","12.75","12.55","12.55","-0.20","22"
"9958","世紀鋼","7,804,016","504,889,044","62.00","66.20","61.80","64.40","+3.60","5,288"
